City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
44,Bluff,NZ,2022-02-13 22:19:34,-46.6,168.3333,59.81,71,18,2.98,few clouds,0.0,0.0
45,Hermanus,ZA,2022-02-13 22:18:25,-34.4187,19.2345,65.8,83,58,18.05,broken clouds,0.0,0.0
46,Severo-Kurilsk,RU,2022-02-13 22:19:58,50.6789,156.125,23.16,68,26,11.92,scattered clouds,0.0,0.0
47,Hobart,AU,2022-02-13 22:20:19,-42.8794,147.3294,62.46,77,100,10.36,light rain,0.0,0.0
48,Buala,SB,2022-02-13 22:20:11,-8.145,159.5921,80.82,82,96,7.34,light rain,0.0,0.0
49,Barentu,ER,2022-02-13 22:27:00,15.1139,37.5928,66.33,51,100,2.73,overcast clouds,0.0,0.0
50,Snasa,NO,2022-02-13 22:27:00,64.2457,12.3778,18.43,99,83,3.4,broken clouds,0.0,0.0
51,Mataura,NZ,2022-02-13 22:20:05,-46.1927,168.8643,60.48,62,26,2.35,scattered clouds,0.0,0.0
52,Namatanai,PG,2022-02-13 22:20:50,-3.6667,152.4333,81.27,76,100,4.7,overcast clouds,0.0,0.0
53,Kuytun,RU,2022-02-13 22:27:00,54.3419,101.5036,-27.29,100,100,3.15,overcast clouds,0.0,0.0
54,Moura,PT,2022-02-13 22:27:01,38.1401,-7.4486,53.71,86,100,8.05,overcast clouds,0.0,0.0
55,Lebu,CL,2022-02-13 22:16:00,-37.6167,-73.65,63.73,77,72,8.59,broken clouds,0.0,0.0
56,Acarau,BR,2022-02-13 22:20:10,-2.8856,-40.12,79.93,79,10,15.48,clear sky,0.0,0.0
57,Cape Town,ZA,2022-02-13 22:15:43,-33.9258,18.4232,68.41,83,20,21.85,few clouds,0.0,0.0
58,Port Lincoln,AU,2022-02-13 22:19:23,-34.7333,135.8667,66.97,82,96,10.09,overcast clouds,0.0,0.0
59,Palmer,US,2022-02-13 22:21:21,42.1584,-72.3287,29.91,60,75,10.36,broken clouds,0.0,0.0
60,Booue,GA,2022-02-13 22:27:01,-0.0921,11.9385,74.7,88,69,2.55,broken clouds,0.0,0.0
61,Polunochnoye,RU,2022-02-13 22:27:01,60.8697,60.4153,1.85,99,97,1.41,overcast clouds,0.0,0.0
62,Vanimo,PG,2022-02-13 22:27:02,-2.6741,141.3028,78.01,89,100,3.67,overcast clouds,0.0,0.0
63,Majene,ID,2022-02-13 22:27:02,-3.5403,118.9707,75.72,84,100,2.91,overcast clouds,0.0,0.0
64,Qaanaaq,GL,2022-02-13 22:20:22,77.484,-69.3632,-6.95,83,99,4.52,overcast clouds,0.0,0.0
65,Taltal,CL,2022-02-13 22:20:20,-25.4,-70.4833,70.38,70,19,6.38,few clouds,0.0,0.0
66,Lompoc,US,2022-02-13 22:18:29,34.6391,-120.4579,84.34,37,0,12.66,clear sky,0.0,0.0
67,De Aar,ZA,2022-02-13 22:26:18,-30.6497,24.0123,73.67,51,69,13.96,broken clouds,0.0,0.0
68,Lang Son,VN,2022-02-13 22:27:02,21.8333,106.7333,50.0,92,91,4.94,overcast clouds,0.0,0.0
69,Mackay,AU,2022-02-13 22:23:18,-21.15,149.2,81.68,73,42,21.5,scattered clouds,0.0,0.0
70,Bethel,US,2022-02-13 22:16:14,41.3712,-73.414,29.68,67,100,8.05,overcast clouds,0.0,0.0
71,Sur,OM,2022-02-13 22:27:03,22.5667,59.5289,71.55,70,0,11.48,clear sky,0.0,0.0
72,Sept-Iles,CA,2022-02-13 22:24:53,50.2001,-66.3821,2.05,63,40,6.91,scattered clouds,0.0,0.0
73,Bandarbeyla,SO,2022-02-13 22:20:25,9.4942,50.8122,74.41,67,31,14.99,scattered clouds,0.0,0.0
74,Launceston,AU,2022-02-13 22:27:03,-41.45,147.1667,66.15,84,86,5.75,overcast clouds,0.0,0.0
75,Champerico,GT,2022-02-13 22:19:10,14.3,-91.9167,93.74,58,1,12.88,clear sky,0.0,0.0
76,East London,ZA,2022-02-13 22:19:57,-33.0153,27.9116,72.91,83,83,10.13,broken clouds,0.0,0.0
77,Kloulklubed,PW,2022-02-13 22:22:05,7.0419,134.2556,81.18,81,100,22.41,moderate rain,0.0,0.0
78,Tilichiki,RU,2022-02-13 22:20:27,60.4667,166.1,-18.33,93,7,9.55,clear sky,0.0,0.0
79,Atuona,PF,2022-02-13 22:18:15,-9.8,-139.0333,77.97,78,22,12.91,light rain,0.0,0.0
80,Saskylakh,RU,2022-02-13 22:20:02,71.9167,114.0833,-17.57,88,41,3.0,scattered clouds,0.0,0.0
81,Hilo,US,2022-02-13 22:19:26,19.7297,-155.09,78.53,70,40,8.05,scattered clouds,0.0,0.0
82,Pevek,RU,2022-02-13 22:20:11,69.7008,170.3133,-17.21,98,100,9.44,overcast clouds,0.0,0.0
83,Victoria,HK,2022-02-13 22:20:19,22.2855,114.1577,60.24,82,100,10.0,overcast clouds,0.0,0.0
84,Bulawayo,ZW,2022-02-13 22:27:04,-20.15,28.5833,66.0,56,3,9.98,clear sky,0.0,0.0
85,Upernavik,GL,2022-02-13 22:19:54,72.7868,-56.1549,-5.93,97,100,13.91,overcast clouds,0.0,0.0
86,Torbay,CA,2022-02-13 22:17:25,47.6666,-52.7314,37.58,71,100,17.27,overcast clouds,0.0,0.0
87,Kavieng,PG,2022-02-13 22:20:39,-2.5744,150.7967,82.08,76,97,6.2,overcast clouds,0.0,0.0
